Nodes in input,Nodes in hidden,Epochs,Batch Size,Hidden Layers,Time,mse,accuracy
13,65,1000,128,2,1552570087,0.11366417929457028,0.840039255984047
17,69,1000,96,1,1552570403,0.13151025321696527,0.8302257181500781
52,82,1000,80,1,1552570779,0.09980248799501855,0.868498531478193
13,28,1000,80,1,1552571162,0.10687824636990235,0.8616290511280094
17,76,1000,64,4,1552571756,0.12439420975752036,0.8282630027100897
60,66,1000,112,4,1552572116,0.15131447007248985,0.782139353476048
54,4,1000,80,1,1552572506,0.16082669929094007,0.798822376866102
21,82,1000,96,1,1552572832,0.11863150562400088,0.8508341497832121
22,4,1000,128,3,1552573105,0.12935037383036477,0.8302257132951364
6,16,1000,128,2,1552573368,0.12201209484770441,0.8302257104874593
87,15,1000,32,2,1552574387,0.1468426999622285,0.788027477276103
62,20,1000,48,3,1552575099,0.12960608187108735,0.821393522125933
33,78,1000,64,3,1552575682,0.1275477603194875,0.8351324839961658
9,28,1000,112,2,1552575989,0.11358079301070886,0.8567222760984778
34,12,1000,112,4,1552576324,0.14732911210357266,0.7713444552898875
25,8,1000,64,3,1552576876,0.13000468765700765,0.824337587038364
55,93,1000,64,1,1552577383,0.10940488653807691,0.8635917549863297
96,2,1000,16,1,1552579405,0.1350438435131481,0.830225711481845
61,64,1000,64,4,1552580002,0.1344111078767009,0.8204121698458131
1,65,1000,32,1,1552581038,0.11330997979705304,0.8449460262756235
10,30,1000,112,3,1552581378,0.12033327469296966,0.8312070656337495
56,90,1000,16,3,1552583621,0.11653971737131871,0.8420019626500445
28,72,1000,64,2,1552584185,0.16114967333205898,0.7831207069845265
1,26,1000,112,4,1552584539,0.12065506930498661,0.834151131306593
46,79,1000,96,2,1552584946,0.13522609068086267,0.8007850805489425
94,54,1000,128,3,1552585270,0.11528848450159301,0.8498527955728143
52,78,1000,64,4,1552585922,0.12687060710726356,0.8233562313656344
92,17,1000,80,3,1552586400,0.14778722145606538,0.7811579935918027
46,56,1000,112,1,1552586716,0.10539920382399086,0.8527968608946983
24,97,1000,112,3,1552587139,0.12697309858080683,0.83415112785549
76,53,1000,32,4,1552588387,0.14611443678343028,0.8007850837660725
96,5,1000,16,2,1552590679,0.10908980828447594,0.847890088497364
72,58,1000,16,3,1552593054,0.11468679889290793,0.840039254463222
47,30,1000,64,4,1552593672,0.13250970289886174,0.8253189399034165
76,14,1000,48,3,1552594496,0.12768361799718705,0.8302257105459526
24,51,1000,48,3,1552595330,0.12670942777594127,0.8321884193762011
21,75,1000,16,2,1552597667,0.12577359340317232,0.8263002943477874
2,65,1000,64,1,1552598247,0.12334777817671151,0.8312070655167629
33,34,1000,128,2,1552598558,0.1315949613171775,0.82433758768179
58,48,1000,80,2,1552599051,0.11449947047309623,0.8557409265675419
50,52,1000,96,3,1552599497,0.14108092499434421,0.8135426799027328
17,67,1000,32,4,1552600771,0.11528899152859154,0.8429833169189356
91,63,1000,96,1,1552601168,0.12379802227517457,0.8351324800771165
24,36,1000,96,4,1552601624,0.14207675450566473,0.7998037339426701
92,92,1000,112,3,1552602069,0.15666376269249735,0.795878316691626
20,27,1000,48,3,1552602931,0.1251481751142704,0.8312070619486733
96,44,1000,128,1,1552603242,0.13097210020792027,0.8184494601966589
35,56,1000,16,3,1552605784,0.1347946329398759,0.8204121690854006
25,24,1000,80,2,1552606300,0.1001706944597598,0.8724239448101878
34,21,1000,48,1,1552607116,0.12107774362304377,0.8321884245821023
74,37,1000,32,4,1552608481,0.1386748277477123,0.8125613354022182
17,66,1000,80,3,1552609044,0.11794450634156406,0.8341511308386469
27,94,1000,64,1,1552609661,0.10739974032674383,0.8459273796671155
67,55,1000,112,1,1552610022,0.13849002971031482,0.8076545606359065
14,84,1000,80,3,1552610619,0.12916133962242596,0.8213935248166235
100,76,1000,80,4,1552611230,0.1596086485287626,0.7988223827739225
99,37,1000,48,4,1552612145,0.1307371243527406,0.8282630041139283
39,33,1000,96,1,1552612577,0.11981478940340909,0.8420019581460625
60,6,1000,48,4,1552613528,0.10769119055190428,0.8635917556297557
79,54,1000,128,3,1552613910,0.11034600076222677,0.8498527974445991
25,83,1000,32,4,1552615346,0.12147229405392375,0.8449460252812379
50,56,1000,128,3,1552615725,0.12572195628791374,0.8331697732941326
52,57,1000,48,3,1552616671,0.1447210459109904,0.794896956865874
13,40,1000,112,4,1552617105,0.14415593919096564,0.7860647711365449
6,33,1000,128,3,1552617478,0.14233157468614213,0.8086359175077481
61,29,1000,96,4,1552617962,0.12838523375040414,0.8233562320090604
24,83,1000,112,3,1552618439,0.12893604355205263,0.8400392582067915
37,34,1000,128,3,1552618814,0.12040682020025936,0.8400392547556884
46,66,1000,112,4,1552619298,0.13485927120860122,0.8253189338201161
95,34,1000,64,1,1552619976,0.10707040123049247,0.8635917579109933
74,30,1000,128,2,1552620337,0.10504476902266129,0.8498527983804914
42,95,1000,64,2,1552621074,0.1108998421349282,0.845927378906703
91,67,1000,64,3,1552621852,0.11788504529046123,0.8439646722991988
65,72,1000,16,4,1552624778,0.12350941461833584,0.8361138370366981
6,43,1000,48,1,1552625694,0.1000142861450122,0.869479880365703
70,5,1000,48,1,1552626611,0.11137039251662097,0.865554461418354
48,100,1000,48,2,1552627600,0.11932308034892757,0.8400392522989709
93,68,1000,96,2,1552628103,0.12425769226473844,0.8263003031802716
34,45,1000,32,1,1552629493,0.11813793314567843,0.8312070661016957
15,44,1000,32,3,1552630966,0.12169332891497925,0.8263002951666932
81,51,1000,32,3,1552632461,0.13188484809758969,0.8155053968050529
14,86,1000,16,3,1552635404,0.14054953858943636,0.8145240434720542
